Transaction Date,MCC,Description,Amount
24/03/2013,5411,"TESCO STORE 2934       NEW MALDEN",-43.23
24/03/2013,5732,"CURRYS MEGASTORE       NEW MALDEN",-30.98
25/03/2013,5814,"BANK OF AMERICA CANARY LONDON",-20.00
25/03/2013,5812,"WASABI              LONDON  SE1",-3.50
25/03/2013,5999,"MORRISONS.COM       INTERNET",-317.65
26/03/2013,5499,"MEGAA SUPERSTORE       NEW MALDN 001",-14.54
26/03/2013,5499,"QUALITY CHOICE      020 8949 7726",-8.00
27/03/2013,4812,"LYCAMOBILE UK LTD      0207 5366450",-10.00
28/03/2013,3056,"JET AIR     LIMITED    MUMBAI 119,280.00 INR AT     0.01256/GBP",-1498.91
29/03/2013,5311,"MOTHERCARE UK LTD      SUTTON",-21.99
29/03/2013,5311,"DEBENHAMS           SUTTON",-41.00
29/03/2013,5311,"DEBENHAMS           SUTTON",-19.99
29/03/2013,5411,"TESCO STORES 6690      SURREY",-21.98
29/03/2013,5814,"BURGER KING         LONDON  SM1",-11.06
29/03/2013,5942,"AMAZON  MKTPLCE EU-UK  AMAZON.CO.UK",-17.99
30/03/2013,5411,"TESCO STORE 2934       NEW MALDEN",-83.96
31/03/2013,5999,"MORRISONS.COM       INTERNET",-206.42
31/03/2013,5541,"BP HATTON CROSS S/SERV HATTON CROSS",-30.05
31/03/2013,5311,"MOTHERCARE DIRECT-E-CO WATFORD",-9.98
01/04/2013,5411,"TESCO STORE 2934       NEW MALDEN",12.00
01/04/2013,5942,"AMAZON  MKTPLCE EU-UK  AMAZON.CO.UK",-6.26
01/04/2013,5942,"AMAZON  MKTPLCE EU-UK  AMAZON.CO.UK",-3.22
01/04/2013,5712,"WWW.MATTRESSMAN.CO.UK  INTERNET",-508.00
02/04/2013,5942,"AMAZON  MKTPLCE EU-UK  AMAZON.CO.UK",-1.47
03/04/2013,,"PAYMENT INTERNET DEBIT CARD",1240.47
03/04/2013,5814,"BANK OF AMERICA CANARY LONDON",-20.00
03/04/2013,5311,"MOTHERCARE DIRECT-E-CO WATFORD",-103.20
03/04/2013,5411,"VANIYAN FOODS 4 U      NEW MALDEN",-9.76
03/04/2013,5411,"TESCO STORE 2934       NEW MALDEN",-18.21
04/04/2013,5969,"AMAZON.CO.UK",-122.62
04/04/2013,5969,"AMAZON.CO.UK",-172.67
04/04/2013,5499,"MARTIN MCCOLL 6235     WORCESTER PAR",-167.50
05/04/2013,5969,"AMAZON.CO.UK",-84.58
05/04/2013,5942,"AMAZON  MKTPLCE EU-UK  AMAZON.CO.UK",-3.99
05/04/2013,5969,"AMAZON.CO.UK",-9.66
05/04/2013,5969,"AMAZON.CO.UK",-14.99
06/04/2013,5411,"TESCO STORE 2934       NEW MALDEN",-49.21
08/04/2013,5732,"CURRYS MEGASTORE       NEW MALDEN",24.99
08/04/2013,8999,"PAYPAL  CHENLIHONG     35314369001",-9.38
08/04/2013,8999,"PAYPAL  NEMORAFIQ      35314369001",-1.65
09/04/2013,5814,"BANK OF AMERICA CANARY LONDON",-20.00
09/04/2013,5969,"AMAZON.CO.UK",-15.28
09/04/2013,5969,"AMAZON.CO.UK",-30.56
12/04/2013,5814,"BANK OF AMERICA CANARY LONDON",-20.00
13/04/2013,5411,"TESCO STORE 2934       NEW MALDEN",-100.16
13/04/2013,5994,"IYNGARAN FOOD&WINE     NEW MALDEN",-8.24
13/04/2013,5211,"B & Q NEW MALDEN NM",-10.45
14/04/2013,9399,"ROYAL BOROUGH OF KINGS SURREY",-26.27
15/04/2013,5462,"KRISPY KREME        CANARY WHARF",-16.95
